"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Tue 16.03.2021","3344","3802"
"Wed 17.03.2021","3375","3837"
"Thu 18.03.2021","3408","3866"
"Fri 19.03.2021","3445","4012"
"Sat 20.03.2021","3504","3970"
"Sun 21.03.2021","3472","3964"
"Mon 22.03.2021","3468","3919"
"Tue 23.03.2021","3407","3861"
"Wed 24.03.2021","3407","3861"
"Thu 25.03.2021","3407","3861"
"Fri 26.03.2021","3417","3887"
"Sat 27.03.2021","3447","3906"
"Sun 28.03.2021","3292","3739"
"Mon 29.03.2021","3113","3917"
"Tue 30.03.2021","3247","3602"
"Wed 31.03.2021","3161","3488"
"Thu 01.04.2021","2953","3358"
"Fri 02.04.2021","2938","3345"
"Sat 03.04.2021","3072","3381"
"Sun 04.04.2021","3164","3442"
"Mon 05.04.2021","2996","3297"
"Tue 06.04.2021","3355","3649"
"Wed 07.04.2021","3346","3791"
"Thu 08.04.2021","3382","3832"
"Fri 09.04.2021","3441","3891"
"Sat 10.04.2021","3521","3951"
"Sun 11.04.2021","3460","3766"
"Mon 12.04.2021","3452","3852"
"Tue 13.04.2021","3392","3838"
"Wed 14.04.2021","3398","3846"
"Thu 15.04.2021","3414","3864"
"Fri 16.04.2021","3289","3715"
"Sat 17.04.2021","3232","3422"
"Sun 18.04.2021","3227","3427"
"Mon 19.04.2021","3355","3619"
"Tue 20.04.2021","3195","3599"
"Wed 21.04.2021","3169","3570"
"Thu 22.04.2021","3165","3566"
"Fri 23.04.2021","3200","3593"
"Sat 24.04.2021","3209","3398"
"Sun 25.04.2021","3192","3335"
"Mon 26.04.2021","3352","3615"
"Tue 27.04.2021","3191","3592"
"Wed 28.04.2021","3191","3592"
"Thu 29.04.2021","3191","3592"
"Fri 30.04.2021","3217","3610"
"Sat 01.05.2021","3017","3325"
"Sun 02.05.2021","2990","3330"
"Mon 03.05.2021","3073","3572"
"Tue 04.05.2021","3276","3771"
"Wed 05.05.2021","3250","3742"
"Thu 06.05.2021","3234","3723"
"Fri 07.05.2021","3205","3697"
"Sat 08.05.2021","3105","3381"
"Sun 09.05.2021","3044","3390"
"Mon 10.05.2021","3137","3645"
"Tue 11.05.2021","3136","3612"
"Wed 12.05.2021","3136","3612"
"Thu 13.05.2021","2978","3280"
"Fri 14.05.2021","3049","3381"
"Sat 15.05.2021","3053","3324"
"Sun 16.05.2021","2841","3133"
"Mon 17.05.2021","2775","3059"
"Tue 18.05.2021","2791","3189"
"Wed 19.05.2021","2871","3315"
"Thu 20.05.2021","2885","3331"
"Fri 21.05.2021","2926","3379"
"Sat 22.05.2021","2878","3158"
"Sun 23.05.2021","2744","3027"
"Mon 24.05.2021","2649","2922"
"Tue 25.05.2021","2757","3199"
"Wed 26.05.2021","2759","3188"
"Thu 27.05.2021","2761","3190"
"Fri 28.05.2021","2783","3216"
"Sat 29.05.2021","2728","2995"
"Sun 30.05.2021","2639","2911"
"Mon 31.05.2021","2568","2999"
"Tue 01.06.2021","2602","3008"
"Wed 02.06.2021","2602","3009"
"Thu 03.06.2021","2719","3076"
"Fri 04.06.2021","2654","3057"
"Sat 05.06.2021","2590","2858"
"Sun 06.06.2021","2511","2930"
"Mon 07.06.2021","2601","3058"
"Tue 08.06.2021","2622","3032"
"Wed 09.06.2021","2633","3044"
"Thu 10.06.2021","2641","3052"
"Fri 11.06.2021","2641","3040"
"Sat 12.06.2021","2604","2873"
"Sun 13.06.2021","2488","2902"
"Mon 14.06.2021","2544","2984"
"Tue 15.06.2021","2571","2984"
"Wed 16.06.2021","2523","2930"
"Thu 17.06.2021","2523","2930"
"Fri 18.06.2021","2526","2929"
"Sat 19.06.2021","2416","2727"
"Sun 20.06.2021","2390","2719"
"Mon 21.06.2021","2438","2901"
"Tue 22.06.2021","2484","2910"
"Wed 23.06.2021","2484","2910"
"Thu 24.06.2021","2484","2910"
"Fri 25.06.2021","2490","2914"
"Sat 26.06.2021","2415","2726"
"Sun 27.06.2021","2389","2718"
"Mon 28.06.2021","2362","2801"
"Tue 29.06.2021","2421","2806"
"Wed 30.06.2021","2421","2806"
"Thu 01.07.2021","2453","2844"
"Fri 02.07.2021","2456","2850"
"Sat 03.07.2021","2401","2617"
"Sun 04.07.2021","2367","2595"
"Mon 05.07.2021","2309","2742"
"Tue 06.07.2021","2665","3050"
"Wed 07.07.2021","2684","3072"
"Thu 08.07.2021","2698","3088"
"Fri 09.07.2021","2695","3094"
"Sat 10.07.2021","2668","2906"
"Sun 11.07.2021","2630","2882"
"Mon 12.07.2021","2542","2989"
"Tue 13.07.2021","2614","2997"
"Wed 14.07.2021","2614","2997"
"Thu 15.07.2021","2614","2997"
"Fri 16.07.2021","2531","2903"
"Sat 17.07.2021","2518","2824"
"Sun 18.07.2021","2585","2875"
"Mon 19.07.2021","2557","2977"
"Tue 20.07.2021","2578","2974"
"Wed 21.07.2021","2590","2988"
"Thu 22.07.2021","2598","2997"
"Fri 23.07.2021","2611","2990"
"Sat 24.07.2021","2571","2883"
"Sun 25.07.2021","2600","2881"
"Mon 26.07.2021","2610","3038"
"Tue 27.07.2021","2624","3026"
"Wed 28.07.2021","2616","3017"
"Thu 29.07.2021","2606","3006"
"Fri 30.07.2021","2609","2987"
"Sat 31.07.2021","2530","2839"
"Sun 01.08.2021","2394","2732"
"Mon 02.08.2021","2516","3080"
"Tue 03.08.2021","2592","3007"
"Wed 04.08.2021","2620","3130"
"Thu 05.08.2021","2646","3162"
"Fri 06.08.2021","2656","3226"
"Sat 07.08.2021","2570","2999"
"Sun 08.08.2021","2489","2964"
"Mon 09.08.2021","2607","3103"
"Tue 10.08.2021","2664","3113"
"Wed 11.08.2021","2668","3118"
"Thu 12.08.2021","2685","3135"
"Fri 13.08.2021","2676","3193"
"Sat 14.08.2021","2597","2982"
"Sun 15.08.2021","2474","2895"
"Mon 16.08.2021","2574","3104"
"Tue 17.08.2021","2585","3099"
"Wed 18.08.2021","2765","3099"
"Thu 19.08.2021","2770","3111"
"Fri 20.08.2021","2705","3327"
"Sat 21.08.2021","2646","3053"
"Sun 22.08.2021","2638","3105"
"Mon 23.08.2021","2661","3211"
"Tue 24.08.2021","2635","3244"
"Wed 25.08.2021","2653","3286"
"Thu 26.08.2021","2691","3327"
"Fri 27.08.2021","2696","3386"
"Sat 28.08.2021","2669","3065"
"Sun 29.08.2021","2591","3036"
"Mon 30.08.2021","2620","3121"
"Tue 31.08.2021","2676","3150"
"Wed 01.09.2021","2655","3125"
"Thu 02.09.2021","2655","3125"
"Fri 03.09.2021","2665","3134"
"Sat 04.09.2021","2736","3058"
"Sun 05.09.2021","2625","2967"
"Mon 06.09.2021","2714","3245"
"Tue 07.09.2021","2758","3249"
"Wed 08.09.2021","2763","3255"
"Thu 09.09.2021","2753","3244"
"Fri 10.09.2021","2748","3236"
"Sat 11.09.2021","2801","3117"
"Sun 12.09.2021","2735","3091"
"Mon 13.09.2021","2770","3275"
"Tue 14.09.2021","2799","3267"
"Wed 15.09.2021","2807","3276"
"Thu 16.09.2021","2828","3302"
"Fri 17.09.2021","2835","3316"
"Sat 18.09.2021","2838","3168"
"Sun 19.09.2021","2769","3206"
"Mon 20.09.2021","2814","3290"
"Tue 21.09.2021","2838","3271"
"Wed 22.09.2021","2838","3271"
"Thu 23.09.2021","2838","3271"
"Fri 24.09.2021","2832","3281"
"Sat 25.09.2021","2819","3148"
"Sun 26.09.2021","2749","3185"
"Mon 27.09.2021","2865","3352"
"Tue 28.09.2021","2873","3332"
"Wed 29.09.2021","2873","3332"
"Thu 30.09.2021","2873","3332"
"Fri 01.10.2021","2863","3331"
"Sat 02.10.2021","2912","3299"
"Sun 03.10.2021","2855","3302"
"Mon 04.10.2021","2961","3478"
"Tue 05.10.2021","2897","3459"
"Wed 06.10.2021","2897","3459"
"Thu 07.10.2021","2897","3459"
"Fri 08.10.2021","2899","3454"
"Sat 09.10.2021","2937","3329"
"Sun 10.10.2021","2880","3332"
"Mon 11.10.2021","2946","3458"
"Tue 12.10.2021","2889","3448"
"Wed 13.10.2021","2901","3462"
"Thu 14.10.2021","2931","3498"
"Fri 15.10.2021","2971","3538"
"Sat 16.10.2021","2966","3455"
"Sun 17.10.2021","2949","3619"
"Mon 18.10.2021","2944","3744"
"Tue 19.10.2021","3151","3709"
"Wed 20.10.2021","3174","3738"
"Thu 21.10.2021","3206","3775"
"Fri 22.10.2021","3129","3695"
"Sat 23.10.2021","3103","3613"
"Sun 24.10.2021","3031","3716"
"Mon 25.10.2021","3216","3789"
"Tue 26.10.2021","3218","3784"
"Wed 27.10.2021","3231","3799"
"Thu 28.10.2021","3266","3840"
"Fri 29.10.2021","3259","3844"
"Sat 30.10.2021","3208","3735"
"Sun 31.10.2021","3133","3784"
"Mon 01.11.2021","3145","3869"
"Tue 02.11.2021","3207","3873"
"Wed 03.11.2021","3207","3873"
"Thu 04.11.2021","3036","3874"
"Fri 05.11.2021","3174","3777"
"Sat 06.11.2021","3187","3680"
"Sun 07.11.2021","3110","3597"
"Mon 08.11.2021","3266","4013"
"Tue 09.11.2021","3337","4026"
"Wed 10.11.2021","3337","4026"
"Thu 11.11.2021","3382","4077"
"Fri 12.11.2021","3388","4029"
"Sat 13.11.2021","3374","3897"
"Sun 14.11.2021","3284","3795"
"Mon 15.11.2021","3334","4057"
"Tue 16.11.2021","3314","4056"
"Wed 17.11.2021","3324","4068"
"Thu 18.11.2021","3324","4068"
"Fri 19.11.2021","3357","4126"
"Sat 20.11.2021","3495","3998"
"Sun 21.11.2021","3342","4023"
"Mon 22.11.2021","3404","4135"
"Tue 23.11.2021","3357","4126"
"Wed 24.11.2021","3357","4126"
"Thu 25.11.2021","3357","4126"
"Fri 26.11.2021","3404","4239"
"Sat 27.11.2021","3388","3833"
"Sun 28.11.2021","3229","3858"
"Mon 29.11.2021","3336","3965"
"Tue 30.11.2021","3249","3951"
"Wed 01.12.2021","3259","3964"
"Thu 02.12.2021","3357","4082"
"Fri 03.12.2021","3462","4183"
"Sat 04.12.2021","3542","4036"
"Sun 05.12.2021","3626","4221"
"Mon 06.12.2021","3623","4289"
"Tue 07.12.2021","3530","4296"
"Wed 08.12.2021","3531","4297"
"Thu 09.12.2021","3544","4314"
"Fri 10.12.2021","3583","4329"
"Sat 11.12.2021","3623","4203"
"Sun 12.12.2021","3616","4210"
"Mon 13.12.2021","3550","4266"
"Tue 14.12.2021","3504","4241"
"Wed 15.12.2021","3467","4197"
"Thu 16.12.2021","3506","4243"
"Fri 17.12.2021","3519","4186"
"Sat 18.12.2021","3248","3857"
"Sun 19.12.2021","3342","3841"
"Mon 20.12.2021","3323","4016"
"Tue 21.12.2021","3288","3976"
"Wed 22.12.2021","3251","3930"
"Thu 23.12.2021","3248","3926"
"Fri 24.12.2021","3081","3737"
"Sat 25.12.2021","3133","3738"
"Sun 26.12.2021","3113","3736"
"Mon 27.12.2021","3173","3941"
"Tue 28.12.2021","3185","3833"
"Wed 29.12.2021","3185","3833"
"Thu 30.12.2021","3185","3833"
"Fri 31.12.2021","3139","3807"
"Sat 01.01.2022","3453","4016"
"Sun 02.01.2022","3410","3971"
