"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Mon 04.01.2021","3442","4133"
"Tue 05.01.2021","3437","4158"
"Wed 06.01.2021","3437","4158"
"Thu 07.01.2021","3437","4158"
"Fri 08.01.2021","3332","3966"
"Sat 09.01.2021","3353","3900"
"Sun 10.01.2021","3227","4037"
"Mon 11.01.2021","3838","4487"
"Tue 12.01.2021","3789","4533"
"Wed 13.01.2021","3825","4576"
"Thu 14.01.2021","3846","4601"
"Fri 15.01.2021","3876","4593"
"Sat 16.01.2021","3673","4138"
"Sun 17.01.2021","3621","4207"
"Mon 18.01.2021","3783","4486"
"Tue 19.01.2021","3850","4519"
"Wed 20.01.2021","3921","4598"
"Thu 21.01.2021","3928","4605"
"Fri 22.01.2021","3933","4618"
"Sat 23.01.2021","3816","4298"
"Sun 24.01.2021","3699","4295"
"Mon 25.01.2021","3732","4425"
"Tue 26.01.2021","3781","4430"
"Wed 27.01.2021","3769","4415"
"Thu 28.01.2021","3769","4415"
"Fri 29.01.2021","3761","4414"
"Sat 30.01.2021","3693","4159"
"Sun 31.01.2021","3606","4188"
"Mon 01.02.2021","3746","4434"
"Tue 02.02.2021","3810","4434"
"Wed 03.02.2021","3810","4434"
"Thu 04.02.2021","3810","4434"
"Fri 05.02.2021","3797","4430"
"Sat 06.02.2021","3677","4164"
"Sun 07.02.2021","3604","4139"
"Mon 08.02.2021","3715","4397"
"Tue 09.02.2021","3778","4396"
"Wed 10.02.2021","3965","4613"
"Thu 11.02.2021","3911","4552"
"Fri 12.02.2021","3918","4573"
"Sat 13.02.2021","3810","4313"
"Sun 14.02.2021","3729","4281"
"Mon 15.02.2021","3655","4387"
"Tue 16.02.2021","3787","4401"
"Wed 17.02.2021","3789","4403"
"Thu 18.02.2021","3723","4327"
"Fri 19.02.2021","3878","4401"
"Sat 20.02.2021","3574","4067"
"Sun 21.02.2021","3476","4027"
"Mon 22.02.2021","3520","4245"
"Tue 23.02.2021","3616","4203"
"Wed 24.02.2021","3616","4203"
"Thu 25.02.2021","3552","4128"
"Fri 26.02.2021","3518","4115"
"Sat 27.02.2021","3342","3801"
"Sun 28.02.2021","3257","3773"
"Mon 01.03.2021","3549","4163"
"Tue 02.03.2021","3557","4138"
"Wed 03.03.2021","3451","4014"
"Thu 04.03.2021","3386","3934"
"Fri 05.03.2021","3372","3939"
"Sat 06.03.2021","3394","3667"
"Sun 07.03.2021","3288","3633"
"Mon 08.03.2021","3344","3921"
"Tue 09.03.2021","3359","3907"
"Wed 10.03.2021","3359","3907"
"Thu 11.03.2021","3359","3907"
"Fri 12.03.2021","3355","3919"
"Sat 13.03.2021","3377","3648"
"Sun 14.03.2021","3271","3615"
"Mon 15.03.2021","3351","3790"
