Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid,E6-Tiller PM10 µg/m³ Day,Dekning,E6-Tiller PM2.5 µg/m³ Day,Dekning,Elgeseter PM10 µg/m³ Day,Dekning,Elgeseter PM2.5 µg/m³ Day,Dekning,Elgeseter mobil PM10 µg/m³ Day,Dekning,Elgeseter mobil PM2.5 µg/m³ Day,Dekning,Omkjøringsvegen PM10 µg/m³ Day,Dekning,Omkjøringsvegen PM2.5 µg/m³ Day,Dekning,Torvet PM10 µg/m³ Day,Dekning,Torvet PM2.5 µg/m³ Day,Dekning,Åsveien skole PM10 µg/m³ Day,Dekning,Åsveien skole PM2.5 µg/m³ Day,Dekning,Bakke kirke PM10 µg/m³ Day,Dekning,Bakke kirke PM2.5 µg/m³ Day,Dekning
21.01.2015 00:00,4.5452727361,100,4.1435172514,100,4.0861015396,100,2.2381036861,100,8.2729166667,100,5.5541666667,100,,,,,4.6833333333,100,3.2958333333,100,,,,,6.4810850618,100,4.2855166611,100
22.01.2015 00:00,10.0830734042,100,7.2950668333,100,18.8718550576,92,12.0650956545,92,20.3683333333,100,11.4333333333,100,,,,,18.2041666667,100,11.0125,100,,,,,19.623124907,100,12.6384377125,100
23.01.2015 00:00,23.8966881069,100,16.36765615,100,36.8954521285,100,26.6255547458,100,35.0166666667,100,20.3,100,,,,,28.6708333333,100,17.9416666667,100,,,,,24.5639682479,100,17.4148096389,100
24.01.2015 00:00,13.0885513222,100,11.1331236194,100,16.1635906403,100,12.8428781403,100,16.9033333333,100,11.5833333333,100,,,,,13.0625,100,11.2375,100,,,,,19.9468049201,100,17.3489011563,100
25.01.2015 00:00,10.2902331472,100,8.5766915819,100,11.7462586424,100,8.4273990062,100,14.1029166667,100,8.7833333333,100,,,,,11.5708333333,100,10.3291666667,100,,,,,16.8088268573,100,13.5934121726,100
26.01.2015 00:00,11.3785582319,100,7.6266532528,100,5.9191581903,100,3.7887836201,100,10.7341666667,100,6.2833333333,100,,,,,5.3958333333,100,4.525,100,,,,,9.2053730375,100,5.4308035306,100
27.01.2015 00:00,12.6234379472,100,7.5814614083,100,4.646340016,96,2.330747742,96,9.6158333333,100,4.3791666667,100,,,,,4.8272727273,92,3.9208333333,100,,,,,7.5069762368,100,4.0527891813,100
28.01.2015 00:00,11.8714873542,100,8.1670506528,100,16.0168039796,100,11.142931594,100,16.15625,100,9.025,100,,,,,7.2130434783,96,6.0041666667,100,,,,,10.2781703125,100,7.3724018174,100
29.01.2015 00:00,6.5769742847,100,5.2666370653,100,3.5087302238,88,1.7864446524,88,4.755,92,3.5136363636,92,,,,,2.3666666667,100,1.825,100,,,,,4.6171559132,100,2.7067764958,100
30.01.2015 00:00,9.3233493555,100,4.5982734021,100,5.2097132833,100,0.7690303458,100,10.5829166667,100,4.85,100,,,,,4.8708333333,100,1.4083333333,100,,,,,4.7027571556,100,1.2825979181,100
