Navn;Stasjon;Tid(norsk normaltid);Pent vær (døgn);Overskya vær (døgn);Gjennomsnittlig skydekke (døgn)
Trondheim - Voll;SN68860;17.04.2015;0;0;5,7
Trondheim - Voll;SN68860;18.04.2015;0;1;7,3
Trondheim - Voll;SN68860;19.04.2015;0;0;5,7
Trondheim - Voll;SN68860;20.04.2015;0;1;7,7
Trondheim - Voll;SN68860;21.04.2015;0;0;3,7
Trondheim - Voll;SN68860;22.04.2015;0;1;8
Trondheim - Voll;SN68860;23.04.2015;0;0;6,3
Trondheim - Voll;SN68860;24.04.2015;0;1;6,7
Trondheim - Voll;SN68860;25.04.2015;0;1;7
Trondheim - Voll;SN68860;26.04.2015;0;0;4,3
Trondheim - Voll;SN68860;27.04.2015;1;0;1,7
Trondheim - Voll;SN68860;28.04.2015;0;0;5,3
Trondheim - Voll;SN68860;29.04.2015;0;0;5,7
Trondheim - Voll;SN68860;30.04.2015;0;0;4,7
Trondheim - Voll;SN68860;01.05.2015;0;0;4,3
Trondheim - Voll;SN68860;02.05.2015;0;0;4
Trondheim - Voll;SN68860;03.05.2015;0;0;4,3
Trondheim - Voll;SN68860;04.05.2015;0;0;5,7
Trondheim - Voll;SN68860;05.05.2015;0;0;3,7
Trondheim - Voll;SN68860;06.05.2015;0;1;7
Trondheim - Voll;SN68860;07.05.2015;0;0;3,3
Trondheim - Voll;SN68860;08.05.2015;0;1;7,3
Trondheim - Voll;SN68860;09.05.2015;0;0;4
Trondheim - Voll;SN68860;10.05.2015;0;0;4,3
Trondheim - Voll;SN68860;11.05.2015;0;1;8
Trondheim - Voll;SN68860;12.05.2015;0;0;6
Trondheim - Voll;SN68860;13.05.2015;0;1;7,3
Trondheim - Voll;SN68860;14.05.2015;0;0;6,3
Trondheim - Voll;SN68860;15.05.2015;0;0;4,3
Trondheim - Voll;SN68860;16.05.2015;0;0;5,7
Trondheim - Voll;SN68860;17.05.2015;0;1;7,7
Trondheim - Voll;SN68860;18.05.2015;0;0;3,3
Trondheim - Voll;SN68860;19.05.2015;0;0;4
Trondheim - Voll;SN68860;20.05.2015;0;1;7
Trondheim - Voll;SN68860;21.05.2015;1;0;3
Trondheim - Voll;SN68860;22.05.2015;0;1;8
Trondheim - Voll;SN68860;23.05.2015;0;1;8
Trondheim - Voll;SN68860;24.05.2015;0;1;8
Trondheim - Voll;SN68860;25.05.2015;0;1;7,3
Trondheim - Voll;SN68860;26.05.2015;0;1;6,7
Trondheim - Voll;SN68860;27.05.2015;0;0;5,7
Trondheim - Voll;SN68860;28.05.2015;0;0;4,3
Trondheim - Voll;SN68860;29.05.2015;0;1;7
Trondheim - Voll;SN68860;30.05.2015;0;0;5
Trondheim - Voll;SN68860;31.05.2015;0;1;7,7
Trondheim - Voll;SN68860;01.06.2015;0;0;6,3
Trondheim - Voll;SN68860;02.06.2015;0;0;4,7
Trondheim - Voll;SN68860;03.06.2015;0;1;7,3
Trondheim - Voll;SN68860;04.06.2015;0;1;6,7
Trondheim - Voll;SN68860;05.06.2015;0;1;7,7
Trondheim - Voll;SN68860;06.06.2015;0;1;7,7
Trondheim - Voll;SN68860;07.06.2015;0;1;7
Trondheim - Voll;SN68860;08.06.2015;0;0;5
Trondheim - Voll;SN68860;09.06.2015;0;1;7
Trondheim - Voll;SN68860;10.06.2015;0;1;8
Trondheim - Voll;SN68860;11.06.2015;0;1;7,7
Trondheim - Voll;SN68860;12.06.2015;0;1;8
Trondheim - Voll;SN68860;13.06.2015;0;0;4
Trondheim - Voll;SN68860;14.06.2015;0;0;5,3
Trondheim - Voll;SN68860;15.06.2015;0;1;8
Trondheim - Voll;SN68860;16.06.2015;0;0;4
Trondheim - Voll;SN68860;17.06.2015;0;1;6,7
Trondheim - Voll;SN68860;18.06.2015;0;1;7,7
Trondheim - Voll;SN68860;19.06.2015;0;0;4,7
Trondheim - Voll;SN68860;20.06.2015;0;0;3,7
Trondheim - Voll;SN68860;21.06.2015;0;0;2,3
Trondheim - Voll;SN68860;22.06.2015;1;0;2,3
Trondheim - Voll;SN68860;23.06.2015;0;1;8
Trondheim - Voll;SN68860;24.06.2015;0;0;5,7
Trondheim - Voll;SN68860;25.06.2015;0;1;7,7
Trondheim - Voll;SN68860;26.06.2015;0;1;8
Trondheim - Voll;SN68860;27.06.2015;0;0;3,3
Trondheim - Voll;SN68860;28.06.2015;1;0;1,3
Trondheim - Voll;SN68860;29.06.2015;0;1;6,7
Trondheim - Voll;SN68860;30.06.2015;0;1;7,7
Trondheim - Voll;SN68860;01.07.2015;0;1;7,3
