"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Wed 18.04.2018","2935","3334"
"Thu 19.04.2018","2935","3334"
"Fri 20.04.2018","2923","3363"
"Sat 21.04.2018","2531","2762"
"Sun 22.04.2018","2481","2659"
"Mon 23.04.2018","2634","3018"
"Tue 24.04.2018","2588","2952"
"Wed 25.04.2018","2571","2934"
"Thu 26.04.2018","2559","2921"
"Fri 27.04.2018","2540","2931"
"Sat 28.04.2018","2488","2715"
"Sun 29.04.2018","2512","2693"
"Mon 30.04.2018","2585","2819"
"Tue 01.05.2018","2596","2760"
"Wed 02.05.2018","2508","2825"
"Thu 03.05.2018","2573","2857"
"Fri 04.05.2018","2625","2964"
"Sat 05.05.2018","2515","2671"
"Sun 06.05.2018","2498","2654"
"Mon 07.05.2018","2567","2895"
"Tue 08.05.2018","2581","2908"
"Wed 09.05.2018","2588","2915"
"Thu 10.05.2018","2436","2587"
"Fri 11.05.2018","2468","2684"
"Sat 12.05.2018","2422","2571"
"Sun 13.05.2018","2351","2498"
"Mon 14.05.2018","2385","2798"
"Tue 15.05.2018","2396","2779"
"Wed 16.05.2018","2390","2771"
"Thu 17.05.2018","2231","2424"
"Fri 18.05.2018","2409","2669"
"Sat 19.05.2018","2263","2507"
"Sun 20.05.2018","2187","2453"
"Mon 21.05.2018","2205","2472"
"Tue 22.05.2018","2319","2808"
"Wed 23.05.2018","2336","2764"
"Thu 24.05.2018","2331","2758"
"Fri 25.05.2018","2342","2754"
"Sat 26.05.2018","2192","2429"
"Sun 27.05.2018","2115","2372"
"Mon 28.05.2018","2202","2670"
"Tue 29.05.2018","2254","2645"
"Wed 30.05.2018","2243","2632"
"Thu 31.05.2018","2235","2622"
"Fri 01.06.2018","2259","2644"
"Sat 02.06.2018","2309","2655"
"Sun 03.06.2018","2220","2404"
"Mon 04.06.2018","2139","2567"
"Tue 05.06.2018","2233","2563"
"Wed 06.06.2018","2233","2563"
"Thu 07.06.2018","2233","2563"
"Fri 08.06.2018","2193","2626"
"Sat 09.06.2018","2283","2624"
"Sun 10.06.2018","2194","2379"
"Mon 11.06.2018","2174","2610"
"Tue 12.06.2018","2271","2605"
"Wed 13.06.2018","2014","2317"
"Thu 14.06.2018","1980","2277"
"Fri 15.06.2018","1928","2289"
"Sat 16.06.2018","2117","2321"
"Sun 17.06.2018","1987","2200"
"Mon 18.06.2018","2109","2404"
"Tue 19.06.2018","1992","2340"
"Wed 20.06.2018","1976","2321"
"Thu 21.06.2018","1969","2313"
"Fri 22.06.2018","1946","2291"
"Sat 23.06.2018","1921","2110"
"Sun 24.06.2018","1995","2209"
"Mon 25.06.2018","2099","2431"
"Tue 26.06.2018","2073","2434"
"Wed 27.06.2018","2082","2445"
"Thu 28.06.2018","2085","2449"
"Fri 29.06.2018","2075","2441"
"Sat 30.06.2018","2059","2258"
"Sun 01.07.2018","2089","2276"
"Mon 02.07.2018","2031","2358"
"Tue 03.07.2018","2199","2363"
"Wed 04.07.2018","2127","2430"
"Thu 05.07.2018","2102","2402"
"Fri 06.07.2018","2080","2368"
"Sat 07.07.2018","1976","2195"
"Sun 08.07.2018","2005","2188"
"Mon 09.07.2018","2087","2420"
"Tue 10.07.2018","2136","2439"
"Wed 11.07.2018","2117","2417"
"Thu 12.07.2018","2124","2425"
"Fri 13.07.2018","2100","2389"
"Sat 14.07.2018","1993","2213"
"Sun 15.07.2018","2016","2199"
"Mon 16.07.2018","2106","2354"
"Tue 17.07.2018","2141","2346"
"Wed 18.07.2018","2025","2349"
"Thu 19.07.2018","2092","2292"
"Fri 20.07.2018","2064","2276"
"Sat 21.07.2018","1984","2180"
"Sun 22.07.2018","2017","2158"
"Mon 23.07.2018","2047","2295"
"Tue 24.07.2018","2074","2272"
"Wed 25.07.2018","2067","2265"
"Thu 26.07.2018","2059","2257"
"Fri 27.07.2018","2034","2244"
"Sat 28.07.2018","1964","2159"
"Sun 29.07.2018","1999","2139"
"Mon 30.07.2018","2120","2349"
"Tue 31.07.2018","2114","2323"
"Wed 01.08.2018","2139","2347"
"Thu 02.08.2018","2102","2324"
"Fri 03.08.2018","2046","2268"
"Sat 04.08.2018","1952","2066"
"Sun 05.08.2018","1881","2089"
"Mon 06.08.2018","2051","2280"
"Tue 07.08.2018","2024","2236"
"Wed 08.08.2018","2018","2234"
"Thu 09.08.2018","2008","2215"
"Fri 10.08.2018","1991","2244"
"Sat 11.08.2018","1971","2072"
"Sun 12.08.2018","1893","2137"
"Mon 13.08.2018","2076","2337"
"Tue 14.08.2018","2083","2324"
"Wed 15.08.2018","2097","2353"
"Thu 16.08.2018","2184","2446"
"Fri 17.08.2018","2194","2507"
"Sat 18.08.2018","2197","2453"
"Sun 19.08.2018","2220","2437"
"Mon 20.08.2018","2245","2575"
"Tue 21.08.2018","2259","2573"
"Wed 22.08.2018","2269","2602"
"Thu 23.08.2018","2287","2613"
"Fri 24.08.2018","2085","2431"
"Sat 25.08.2018","2064","2303"
"Sun 26.08.2018","2092","2296"
"Mon 27.08.2018","2066","2356"
"Tue 28.08.2018","2114","2376"
"Wed 29.08.2018","2129","2393"
"Thu 30.08.2018","2143","2409"
"Fri 31.08.2018","2146","2428"
"Sat 01.09.2018","2104","2269"
"Sun 02.09.2018","2122","2338"
"Mon 03.09.2018","2202","2551"
"Tue 04.09.2018","2224","2537"
"Wed 05.09.2018","2224","2537"
"Thu 06.09.2018","2224","2537"
"Fri 07.09.2018","2225","2542"
"Sat 08.09.2018","2107","2273"
"Sun 09.09.2018","2125","2342"
"Mon 10.09.2018","2257","2613"
"Tue 11.09.2018","2280","2600"
"Wed 12.09.2018","2280","2600"
"Thu 13.09.2018","2280","2600"
"Fri 14.09.2018","2279","2605"
"Sat 15.09.2018","2157","2327"
"Sun 16.09.2018","2313","2544"
"Mon 17.09.2018","2410","2800"
"Tue 18.09.2018","2479","2806"
"Wed 19.09.2018","2479","2806"
"Thu 20.09.2018","2479","2806"
"Fri 21.09.2018","2480","2805"
"Sat 22.09.2018","2373","2616"
"Sun 23.09.2018","2378","2603"
"Mon 24.09.2018","2411","2800"
"Tue 25.09.2018","2479","2806"
"Wed 26.09.2018","2479","2806"
"Thu 27.09.2018","2479","2806"
"Fri 28.09.2018","2480","2805"
"Sat 29.09.2018","2374","2617"
"Sun 30.09.2018","2378","2604"
"Mon 01.10.2018","2579","3062"
"Tue 02.10.2018","2576","3077"
"Wed 03.10.2018","2576","3077"
"Thu 04.10.2018","2576","3077"
"Fri 05.10.2018","2596","3098"
"Sat 06.10.2018","2546","2876"
"Sun 07.10.2018","2432","2790"
"Mon 08.10.2018","2669","3169"
"Tue 09.10.2018","2666","3186"
"Wed 10.10.2018","2666","3186"
"Thu 11.10.2018","2666","3186"
"Fri 12.10.2018","2687","3207"
"Sat 13.10.2018","2634","2978"
"Sun 14.10.2018","2514","2886"
"Mon 15.10.2018","2765","3305"
"Tue 16.10.2018","2799","3322"
"Wed 17.10.2018","2799","3322"
"Thu 18.10.2018","2799","3322"
"Fri 19.10.2018","2780","3320"
"Sat 20.10.2018","2630","3152"
"Sun 21.10.2018","2687","3038"
"Mon 22.10.2018","2841","3403"
"Tue 23.10.2018","2856","3392"
"Wed 24.10.2018","2856","3392"
"Thu 25.10.2018","2856","3392"
"Fri 26.10.2018","2829","3383"
"Sat 27.10.2018","2660","3190"
"Sun 28.10.2018","2718","3074"
"Mon 29.10.2018","2931","3413"
"Tue 30.10.2018","2927","3400"
"Wed 31.10.2018","2927","3400"
"Thu 01.11.2018","2951","3428"
"Fri 02.11.2018","2941","3436"
"Sat 03.11.2018","2989","3272"
"Sun 04.11.2018","2837","3234"
"Mon 05.11.2018","3128","3521"
"Tue 06.11.2018","3103","3514"
"Wed 07.11.2018","3103","3514"
"Thu 08.11.2018","3103","3514"
"Fri 09.11.2018","3118","3539"
"Sat 10.11.2018","3071","3362"
"Sun 11.11.2018","2915","3322"
"Mon 12.11.2018","3235","3625"
"Tue 13.11.2018","3198","3619"
"Wed 14.11.2018","3198","3619"
"Thu 15.11.2018","3198","3619"
"Fri 16.11.2018","3101","3515"
"Sat 17.11.2018","3017","3455"
"Sun 18.11.2018","3033","3514"
"Mon 19.11.2018","3279","3684"
"Tue 20.11.2018","3227","3671"
"Wed 21.11.2018","3227","3671"
"Thu 22.11.2018","3227","3671"
"Fri 23.11.2018","3204","3646"
"Sat 24.11.2018","3060","3505"
"Sun 25.11.2018","3076","3564"
"Mon 26.11.2018","3313","3722"
"Tue 27.11.2018","3260","3710"
"Wed 28.11.2018","3260","3710"
"Thu 29.11.2018","3260","3710"
"Fri 30.11.2018","3237","3683"
"Sat 01.12.2018","3295","3597"
"Sun 02.12.2018","3233","3638"
"Mon 03.12.2018","3273","3752"
"Tue 04.12.2018","3196","3745"
"Wed 05.12.2018","3196","3745"
"Thu 06.12.2018","3196","3745"
"Fri 07.12.2018","3219","3741"
"Sat 08.12.2018","3238","3536"
"Sun 09.12.2018","3178","3577"
"Mon 10.12.2018","3305","3787"
"Tue 11.12.2018","3227","3781"
"Wed 12.12.2018","3227","3781"
"Thu 13.12.2018","3227","3781"
"Fri 14.12.2018","3250","3777"
"Sat 15.12.2018","3270","3570"
"Sun 16.12.2018","3381","3898"
"Mon 17.12.2018","3244","3611"
"Tue 18.12.2018","3223","3593"
"Wed 19.12.2018","3223","3593"
"Thu 20.12.2018","3223","3593"
"Fri 21.12.2018","3215","3725"
"Sat 22.12.2018","3149","3649"
"Sun 23.12.2018","3240","3684"
"Mon 24.12.2018","3197","3657"
"Tue 25.12.2018","3274","3722"
"Wed 26.12.2018","3274","3722"
"Thu 27.12.2018","3112","3563"
"Fri 28.12.2018","3079","3568"
"Sat 29.12.2018","2947","3494"
"Sun 30.12.2018","3255","3713"
