"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Mon 01.01.2018","3268","3723"
"Tue 02.01.2018","3285","3854"
"Wed 03.01.2018","3167","3758"
"Thu 04.01.2018","3057","3627"
"Fri 05.01.2018","2972","3462"
"Sat 06.01.2018","3115","3453"
"Sun 07.01.2018","3258","3498"
"Mon 08.01.2018","3249","3738"
"Tue 09.01.2018","3267","3792"
"Wed 10.01.2018","3268","3793"
"Thu 11.01.2018","3273","3799"
"Fri 12.01.2018","3300","3823"
"Sat 13.01.2018","3426","3793"
"Sun 14.01.2018","3452","3714"
"Mon 15.01.2018","3367","3855"
"Tue 16.01.2018","3313","3834"
"Wed 17.01.2018","3318","3841"
"Thu 18.01.2018","3324","3850"
"Fri 19.01.2018","3258","3775"
"Sat 20.01.2018","3296","3593"
"Sun 21.01.2018","3274","3601"
"Mon 22.01.2018","3309","3793"
"Tue 23.01.2018","3249","3769"
"Wed 24.01.2018","3239","3759"
"Thu 25.01.2018","3239","3760"
"Fri 26.01.2018","3244","3746"
"Sat 27.01.2018","3233","3532"
"Sun 28.01.2018","3188","3509"
"Mon 29.01.2018","3295","3777"
"Tue 30.01.2018","3222","3757"
"Wed 31.01.2018","3200","3732"
"Thu 01.02.2018","3239","3777"
"Fri 02.02.2018","3233","3756"
"Sat 03.02.2018","3307","3622"
"Sun 04.02.2018","3351","3612"
"Mon 05.02.2018","3388","3882"
"Tue 06.02.2018","3307","3883"
"Wed 07.02.2018","3307","3883"
"Thu 08.02.2018","3307","3883"
"Fri 09.02.2018","3317","3890"
"Sat 10.02.2018","3347","3664"
"Sun 11.02.2018","3392","3656"
"Mon 12.02.2018","3248","3766"
"Tue 13.02.2018","3182","3742"
"Wed 14.02.2018","3155","3711"
"Thu 15.02.2018","3149","3704"
"Fri 16.02.2018","3210","3772"
"Sat 17.02.2018","3266","3638"
"Sun 18.02.2018","3034","3417"
"Mon 19.02.2018","3155","3699"
"Tue 20.02.2018","3108","3724"
"Wed 21.02.2018","3098","3712"
"Thu 22.02.2018","3089","3700"
"Fri 23.02.2018","3101","3710"
"Sat 24.02.2018","3162","3525"
"Sun 25.02.2018","2970","3343"
"Mon 26.02.2018","3047","3667"
"Tue 27.02.2018","3137","3683"
"Wed 28.02.2018","3137","3683"
"Thu 01.03.2018","3170","3722"
"Fri 02.03.2018","3187","3735"
"Sat 03.03.2018","3166","3443"
"Sun 04.03.2018","3044","3389"
"Mon 05.03.2018","3144","3704"
"Tue 06.03.2018","3246","3718"
"Wed 07.03.2018","3246","3718"
"Thu 08.03.2018","3246","3718"
"Fri 09.03.2018","3250","3711"
"Sat 10.03.2018","3159","3435"
"Sun 11.03.2018","3037","3381"
"Mon 12.03.2018","3137","3660"
"Tue 13.03.2018","3220","3666"
"Wed 14.03.2018","3220","3666"
"Thu 15.03.2018","3220","3666"
"Fri 16.03.2018","3223","3665"
"Sat 17.03.2018","3167","3467"
"Sun 18.03.2018","3045","3350"
"Mon 19.03.2018","3157","3607"
"Tue 20.03.2018","3162","3581"
"Wed 21.03.2018","3162","3581"
"Thu 22.03.2018","3162","3581"
"Fri 23.03.2018","3169","3609"
"Sat 24.03.2018","3160","3459"
"Sun 25.03.2018","3038","3335"
"Mon 26.03.2018","2951","3703"
"Tue 27.03.2018","3206","3521"
"Wed 28.03.2018","3092","3408"
"Thu 29.03.2018","2713","3078"
"Fri 30.03.2018","2715","3068"
"Sat 31.03.2018","2891","3117"
"Sun 01.04.2018","2907","3090"
"Mon 02.04.2018","2813","3057"
"Tue 03.04.2018","3016","3368"
"Wed 04.04.2018","2978","3441"
"Thu 05.04.2018","2978","3441"
"Fri 06.04.2018","2988","3451"
"Sat 07.04.2018","2933","3193"
"Sun 08.04.2018","2945","3151"
"Mon 09.04.2018","2964","3438"
"Tue 10.04.2018","2983","3445"
"Wed 11.04.2018","2983","3445"
"Thu 12.04.2018","2983","3445"
"Fri 13.04.2018","2993","3455"
"Sat 14.04.2018","2937","3196"
"Sun 15.04.2018","2948","3155"
"Mon 16.04.2018","2938","3355"
"Tue 17.04.2018","2935","3334"
