"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Mon 02.01.2017","3107","3764"
"Tue 03.01.2017","3040","3693"
"Wed 04.01.2017","3040","3693"
"Thu 05.01.2017","3040","3693"
"Fri 06.01.2017","3024","3646"
"Sat 07.01.2017","3075","3587"
"Sun 08.01.2017","3169","3610"
"Mon 09.01.2017","2965","3481"
"Tue 10.01.2017","2902","3433"
"Wed 11.01.2017","2866","3392"
"Thu 12.01.2017","2833","3353"
"Fri 13.01.2017","2801","3359"
"Sat 14.01.2017","2864","3257"
"Sun 15.01.2017","2832","3215"
"Mon 16.01.2017","3021","3630"
"Tue 17.01.2017","3003","3631"
"Wed 18.01.2017","2937","3551"
"Thu 19.01.2017","2941","3410"
"Fri 20.01.2017","2894","3491"
"Sat 21.01.2017","2809","3288"
"Sun 22.01.2017","2796","3177"
"Mon 23.01.2017","2831","3402"
"Tue 24.01.2017","2795","3379"
"Wed 25.01.2017","2824","3414"
"Thu 26.01.2017","2841","3435"
"Fri 27.01.2017","2836","3419"
"Sat 28.01.2017","2792","3268"
"Sun 29.01.2017","2816","3198"
"Mon 30.01.2017","2907","3492"
"Tue 31.01.2017","2898","3486"
"Wed 01.02.2017","2891","3477"
"Thu 02.02.2017","2891","3477"
"Fri 03.02.2017","2902","3488"
"Sat 04.02.2017","2835","3359"
"Sun 05.02.2017","2814","3149"
"Mon 06.02.2017","2841","3411"
"Tue 07.02.2017","2826","3387"
"Wed 08.02.2017","2796","3351"
"Thu 09.02.2017","2782","3334"
"Fri 10.02.2017","2795","3350"
"Sat 11.02.2017","2719","3221"
"Sun 12.02.2017","2808","3142"
"Mon 13.02.2017","2892","3449"
"Tue 14.02.2017","2909","3462"
"Wed 15.02.2017","2941","3500"
"Thu 16.02.2017","2939","3498"
"Fri 17.02.2017","2933","3496"
"Sat 18.02.2017","2863","3312"
"Sun 19.02.2017","2839","3294"
"Mon 20.02.2017","2948","3495"
"Tue 21.02.2017","2984","3513"
"Wed 22.02.2017","2939","3460"
"Thu 23.02.2017","2846","3351"
"Fri 24.02.2017","2808","3314"
"Sat 25.02.2017","2726","3154"
"Sun 26.02.2017","2703","3136"
"Mon 27.02.2017","2825","3445"
"Tue 28.02.2017","2904","3446"
"Wed 01.03.2017","2958","3510"
"Thu 02.03.2017","2958","3510"
"Fri 03.03.2017","2953","3495"
"Sat 04.03.2017","2800","3158"
"Sun 05.03.2017","2785","3134"
"Mon 06.03.2017","2836","3525"
"Tue 07.03.2017","2965","3536"
"Wed 08.03.2017","2965","3536"
"Thu 09.03.2017","2901","3460"
"Fri 10.03.2017","2897","3442"
"Sat 11.03.2017","2738","3088"
"Sun 12.03.2017","2722","3063"
"Mon 13.03.2017","2791","3400"
"Tue 14.03.2017","2902","3410"
"Wed 15.03.2017","2941","3454"
"Thu 16.03.2017","2917","3425"
"Fri 17.03.2017","2906","3410"
"Sat 18.03.2017","2895","3167"
"Sun 19.03.2017","2755","3081"
"Mon 20.03.2017","2740","3239"
"Tue 21.03.2017","2786","3215"
"Wed 22.03.2017","2770","3197"
"Thu 23.03.2017","2753","3177"
"Fri 24.03.2017","2770","3212"
"Sat 25.03.2017","2812","3075"
"Sun 26.03.2017","2748","3071"
"Mon 27.03.2017","2724","3220"
"Tue 28.03.2017","2740","3154"
"Wed 29.03.2017","2717","3127"
"Thu 30.03.2017","2701","3108"
"Fri 31.03.2017","2702","3117"
"Sat 01.04.2017","2650","2937"
"Sun 02.04.2017","2612","2897"
"Mon 03.04.2017","2759","3303"
"Tue 04.04.2017","2772","3296"
"Wed 05.04.2017","2772","3296"
"Thu 06.04.2017","2772","3296"
"Fri 07.04.2017","2772","3314"
"Sat 08.04.2017","2699","2991"
"Sun 09.04.2017","2660","2951"
"Mon 10.04.2017","2581","3326"
"Tue 11.04.2017","2859","3244"
"Wed 12.04.2017","2736","3120"
"Thu 13.04.2017","2375","2760"
"Fri 14.04.2017","2369","2768"
"Sat 15.04.2017","2532","2838"
"Sun 16.04.2017","2583","2763"
"Mon 17.04.2017","2447","2741"
"Tue 18.04.2017","2642","3014"
"Wed 19.04.2017","2627","3117"
"Thu 20.04.2017","2627","3117"
"Fri 21.04.2017","2629","3131"
"Sat 22.04.2017","2598","2888"
"Sun 23.04.2017","2608","2829"
"Mon 24.04.2017","2801","3316"
"Tue 25.04.2017","2781","3298"
"Wed 26.04.2017","2781","3298"
"Thu 27.04.2017","2781","3298"
"Fri 28.04.2017","2784","3313"
"Sat 29.04.2017","2757","3061"
"Sun 30.04.2017","2764","2992"
"Mon 01.05.2017","2659","2872"
"Tue 02.05.2017","2671","3134"
"Wed 03.05.2017","2665","3134"
"Thu 04.05.2017","2665","3134"
"Fri 05.05.2017","2712","3202"
"Sat 06.05.2017","2707","2984"
"Sun 07.05.2017","2642","2848"
"Mon 08.05.2017","2669","3079"
"Tue 09.05.2017","2588","3044"
"Wed 10.05.2017","2586","3042"
"Thu 11.05.2017","2578","3033"
"Fri 12.05.2017","2614","3086"
"Sat 13.05.2017","2599","2865"
"Sun 14.05.2017","2544","2743"
"Mon 15.05.2017","2466","2962"
"Tue 16.05.2017","2537","2976"
"Wed 17.05.2017","2350","2543"
"Thu 18.05.2017","2494","2891"
"Fri 19.05.2017","2475","2920"
"Sat 20.05.2017","2411","2675"
"Sun 21.05.2017","2393","2597"
"Mon 22.05.2017","2403","2923"
"Tue 23.05.2017","2490","2920"
"Wed 24.05.2017","2524","2960"
"Thu 25.05.2017","2431","2637"
"Fri 26.05.2017","2502","2833"
"Sat 27.05.2017","2527","2799"
"Sun 28.05.2017","2502","2712"
"Mon 29.05.2017","2390","2871"
"Tue 30.05.2017","2464","2883"
"Wed 31.05.2017","2472","2893"
"Thu 01.06.2017","2408","2819"
"Fri 02.06.2017","2404","2824"
"Sat 03.06.2017","2258","2516"
"Sun 04.06.2017","2248","2474"
"Mon 05.06.2017","2218","2442"
"Tue 06.06.2017","2290","2699"
"Wed 07.06.2017","2438","2857"
"Thu 08.06.2017","2347","2753"
"Fri 09.06.2017","2299","2713"
"Sat 10.06.2017","2198","2454"
"Sun 11.06.2017","2154","2376"
"Mon 12.06.2017","2272","2709"
"Tue 13.06.2017","2249","2641"
"Wed 14.06.2017","2231","2621"
"Thu 15.06.2017","2220","2608"
"Fri 16.06.2017","2233","2634"
"Sat 17.06.2017","2117","2368"
"Sun 18.06.2017","2071","2263"
"Mon 19.06.2017","2156","2590"
"Tue 20.06.2017","2157","2564"
"Wed 21.06.2017","2154","2561"
"Thu 22.06.2017","2154","2560"
"Fri 23.06.2017","2148","2564"
"Sat 24.06.2017","2085","2335"
"Sun 25.06.2017","2076","2276"
"Mon 26.06.2017","2103","2527"
"Tue 27.06.2017","2118","2518"
"Wed 28.06.2017","2125","2526"
"Thu 29.06.2017","2127","2528"
"Fri 30.06.2017","2122","2533"
"Sat 01.07.2017","2170","2429"
"Sun 02.07.2017","2077","2263"
"Mon 03.07.2017","2085","2445"
"Tue 04.07.2017","2154","2508"
"Wed 05.07.2017","2104","2454"
"Thu 06.07.2017","2114","2466"
"Fri 07.07.2017","2127","2482"
"Sat 08.07.2017","2086","2335"
"Sun 09.07.2017","2049","2237"
"Mon 10.07.2017","2063","2452"
"Tue 11.07.2017","2089","2437"
"Wed 12.07.2017","2086","2434"
"Thu 13.07.2017","2083","2430"
"Fri 14.07.2017","2077","2425"
"Sat 15.07.2017","2031","2273"
"Sun 16.07.2017","2145","2312"
"Mon 17.07.2017","2035","2375"
"Tue 18.07.2017","2134","2455"
"Wed 19.07.2017","2125","2443"
"Thu 20.07.2017","2134","2453"
"Fri 21.07.2017","2131","2456"
"Sat 22.07.2017","2129","2369"
"Sun 23.07.2017","2147","2314"
"Mon 24.07.2017","2112","2465"
"Tue 25.07.2017","2142","2461"
"Wed 26.07.2017","2140","2457"
"Thu 27.07.2017","2137","2454"
"Fri 28.07.2017","2132","2455"
"Sat 29.07.2017","2128","2366"
"Sun 30.07.2017","2134","2298"
"Mon 31.07.2017","2196","2526"
"Tue 01.08.2017","2202","2513"
"Wed 02.08.2017","2221","2535"
"Thu 03.08.2017","2241","2446"
"Fri 04.08.2017","2156","2471"
"Sat 05.08.2017","2082","2320"
"Sun 06.08.2017","2022","2248"
"Mon 07.08.2017","2191","2519"
"Tue 08.08.2017","2165","2485"
"Wed 09.08.2017","2166","2488"
"Thu 10.08.2017","2174","2491"
"Fri 11.08.2017","2187","2548"
"Sat 12.08.2017","2151","2375"
"Sun 13.08.2017","2064","2371"
"Mon 14.08.2017","2228","2574"
"Tue 15.08.2017","2241","2596"
"Wed 16.08.2017","2288","2663"
"Thu 17.08.2017","2273","2654"
"Fri 18.08.2017","2252","2613"
"Sat 19.08.2017","2231","2379"
"Sun 20.08.2017","2155","2457"
"Mon 21.08.2017","2198","2569"
"Tue 22.08.2017","2159","2532"
"Wed 23.08.2017","2178","2574"
"Thu 24.08.2017","2182","2569"
"Fri 25.08.2017","2186","2620"
"Sat 26.08.2017","2142","2400"
"Sun 27.08.2017","2152","2453"
"Mon 28.08.2017","2159","2520"
"Tue 29.08.2017","2153","2500"
"Wed 30.08.2017","2153","2499"
"Thu 31.08.2017","2148","2494"
"Fri 01.09.2017","2201","2562"
"Sat 02.09.2017","2195","2473"
"Sun 03.09.2017","2230","2500"
"Mon 04.09.2017","2328","2746"
"Tue 05.09.2017","2386","2736"
"Wed 06.09.2017","2386","2736"
"Thu 07.09.2017","2386","2736"
"Fri 08.09.2017","2359","2741"
"Sat 09.09.2017","2236","2520"
"Sun 10.09.2017","2272","2548"
"Mon 11.09.2017","2365","2788"
"Tue 12.09.2017","2425","2778"
"Wed 13.09.2017","2425","2778"
"Thu 14.09.2017","2425","2778"
"Fri 15.09.2017","2394","2782"
"Sat 16.09.2017","2390","2668"
"Sun 17.09.2017","2369","2681"
"Mon 18.09.2017","2406","2799"
"Tue 19.09.2017","2367","2742"
"Wed 20.09.2017","2353","2724"
"Thu 21.09.2017","2353","2724"
"Fri 22.09.2017","2404","2792"
"Sat 23.09.2017","2436","2670"
"Sun 24.09.2017","2469","2687"
"Mon 25.09.2017","2478","2829"
"Tue 26.09.2017","2391","2770"
"Wed 27.09.2017","2387","2766"
"Thu 28.09.2017","2399","2778"
"Fri 29.09.2017","2359","2743"
"Sat 30.09.2017","2393","2626"
"Sun 01.10.2017","2389","2694"
"Mon 02.10.2017","2573","3046"
"Tue 03.10.2017","2663","3041"
"Wed 04.10.2017","2663","3041"
"Thu 05.10.2017","2663","3041"
"Fri 06.10.2017","2672","3041"
"Sat 07.10.2017","2558","2830"
"Sun 08.10.2017","2471","2785"
"Mon 09.10.2017","2651","3138"
"Tue 10.10.2017","2744","3132"
"Wed 11.10.2017","2744","3132"
"Thu 12.10.2017","2744","3132"
"Fri 13.10.2017","2753","3133"
"Sat 14.10.2017","2635","2916"
"Sun 15.10.2017","2545","2869"
"Mon 16.10.2017","2894","3243"
"Tue 17.10.2017","2833","3212"
"Wed 18.10.2017","2833","3212"
"Thu 19.10.2017","2628","2989"
"Fri 20.10.2017","2600","2991"
"Sat 21.10.2017","2588","2927"
"Sun 22.10.2017","2634","2950"
"Mon 23.10.2017","2718","3062"
"Tue 24.10.2017","2638","3010"
"Wed 25.10.2017","2645","3019"
"Thu 26.10.2017","2657","3033"
"Fri 27.10.2017","2664","3070"
"Sat 28.10.2017","2649","2998"
"Sun 29.10.2017","2700","3018"
"Mon 30.10.2017","2772","3218"
"Tue 31.10.2017","2758","3203"
"Wed 01.11.2017","2823","3275"
"Thu 02.11.2017","2836","3292"
"Fri 03.11.2017","2838","3308"
"Sat 04.11.2017","2863","3277"
"Sun 05.11.2017","2839","3194"
"Mon 06.11.2017","2932","3477"
"Tue 07.11.2017","2964","3482"
"Wed 08.11.2017","2964","3482"
"Thu 09.11.2017","2964","3482"
"Fri 10.11.2017","2982","3504"
"Sat 11.11.2017","2962","3387"
"Sun 12.11.2017","2936","3308"
"Mon 13.11.2017","3039","3571"
"Tue 14.11.2017","3035","3566"
"Wed 15.11.2017","3035","3566"
"Thu 16.11.2017","2958","3477"
"Fri 17.11.2017","2969","3485"
"Sat 18.11.2017","2900","3426"
"Sun 19.11.2017","2732","3208"
"Mon 20.11.2017","3096","3605"
"Tue 21.11.2017","3018","3578"
"Wed 22.11.2017","2980","3535"
"Thu 23.11.2017","2980","3536"
"Fri 24.11.2017","3003","3526"
"Sat 25.11.2017","2913","3442"
"Sun 26.11.2017","2971","3485"
"Mon 27.11.2017","3120","3647"
"Tue 28.11.2017","3061","3636"
"Wed 29.11.2017","3061","3636"
"Thu 30.11.2017","3081","3661"
"Fri 01.12.2017","3145","3693"
"Sat 02.12.2017","3191","3578"
"Sun 03.12.2017","3099","3536"
"Mon 04.12.2017","3231","3772"
"Tue 05.12.2017","3200","3837"
"Wed 06.12.2017","3192","3828"
"Thu 07.12.2017","3195","3832"
"Fri 08.12.2017","3196","3804"
"Sat 09.12.2017","3101","3483"
"Sun 10.12.2017","3034","3462"
"Mon 11.12.2017","3104","3697"
"Tue 12.12.2017","3049","3655"
"Wed 13.12.2017","3052","3659"
"Thu 14.12.2017","3070","3681"
"Fri 15.12.2017","3089","3677"
"Sat 16.12.2017","2941","3776"
"Sun 17.12.2017","3156","3704"
"Mon 18.12.2017","3155","3757"
"Tue 19.12.2017","3201","3700"
"Wed 20.12.2017","3311","3858"
"Thu 21.12.2017","3287","3831"
"Fri 22.12.2017","3177","3722"
"Sat 23.12.2017","2799","3406"
"Sun 24.12.2017","2998","3474"
"Mon 25.12.2017","3072","3548"
"Tue 26.12.2017","3047","3519"
"Wed 27.12.2017","2984","3530"
"Thu 28.12.2017","2991","3502"
"Fri 29.12.2017","2921","3419"
"Sat 30.12.2017","2740","3331"
"Sun 31.12.2017","2953","3421"
