"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Sun 03.03.2019","3134","3510"
"Mon 04.03.2019","3187","3645"
"Tue 05.03.2019","3261","3665"
"Wed 06.03.2019","3261","3665"
"Thu 07.03.2019","3261","3665"
"Fri 08.03.2019","3265","3650"
"Sat 09.03.2019","3198","3403"
"Sun 10.03.2019","3091","3462"
"Mon 11.03.2019","3155","3607"
"Tue 12.03.2019","3228","3627"
"Wed 13.03.2019","3228","3627"
"Thu 14.03.2019","3228","3627"
"Fri 15.03.2019","3232","3612"
"Sat 16.03.2019","3132","3387"
"Sun 17.03.2019","3268","3510"
"Mon 18.03.2019","3229","3454"
"Tue 19.03.2019","3189","3436"
"Wed 20.03.2019","3189","3436"
"Thu 21.03.2019","3189","3436"
"Fri 22.03.2019","3177","3414"
"Sat 23.03.2019","3100","3352"
"Sun 24.03.2019","3234","3472"
"Mon 25.03.2019","3171","3392"
"Tue 26.03.2019","3131","3375"
"Wed 27.03.2019","3131","3375"
"Thu 28.03.2019","3131","3375"
"Fri 29.03.2019","3408","3633"
"Sat 30.03.2019","3306","3581"
"Sun 31.03.2019","3420","3680"
"Mon 01.04.2019","3301","3582"
"Tue 02.04.2019","3327","3551"
"Wed 03.04.2019","3327","3551"
"Thu 04.04.2019","3327","3551"
"Fri 05.04.2019","3309","3543"
"Sat 06.04.2019","3190","3338"
"Sun 07.04.2019","3105","3306"
"Mon 08.04.2019","3234","3510"
"Tue 09.04.2019","3256","3479"
"Wed 10.04.2019","3256","3479"
"Thu 11.04.2019","3256","3479"
"Fri 12.04.2019","3239","3472"
"Sat 13.04.2019","3110","3267"
"Sun 14.04.2019","3043","3236"
"Mon 15.04.2019","2882","3414"
"Tue 16.04.2019","3105","3384"
"Wed 17.04.2019","2999","3236"
"Thu 18.04.2019","2643","2960"
"Fri 19.04.2019","2639","2945"
"Sat 20.04.2019","2775","2965"
"Sun 21.04.2019","2796","3018"
"Mon 22.04.2019","2818","2959"
"Tue 23.04.2019","3016","3217"
"Wed 24.04.2019","3009","3289"
"Thu 25.04.2019","3009","3289"
"Fri 26.04.2019","2991","3311"
"Sat 27.04.2019","2950","3116"
"Sun 28.04.2019","2938","3027"
"Mon 29.04.2019","2904","3187"
"Tue 30.04.2019","2931","3203"
"Wed 01.05.2019","2871","2965"
"Thu 02.05.2019","2912","3168"
"Fri 03.05.2019","2975","3227"
"Sat 04.05.2019","2764","2961"
"Sun 05.05.2019","2794","2952"
"Mon 06.05.2019","2763","3042"
"Tue 07.05.2019","2818","3059"
"Wed 08.05.2019","2869","3114"
"Thu 09.05.2019","2920","3169"
"Fri 10.05.2019","3033","3272"
"Sat 11.05.2019","2889","3123"
"Sun 12.05.2019","2971","3138"
"Mon 13.05.2019","2816","3151"
"Tue 14.05.2019","2859","3161"
"Wed 15.05.2019","2880","3185"
"Thu 16.05.2019","2813","3111"
"Fri 17.05.2019","2684","2923"
"Sat 18.05.2019","2891","3056"
"Sun 19.05.2019","2610","2862"
"Mon 20.05.2019","2712","3213"
"Tue 21.05.2019","2758","3190"
"Wed 22.05.2019","2719","3145"
"Thu 23.05.2019","2696","3118"
"Fri 24.05.2019","2602","3082"
"Sat 25.05.2019","2546","2689"
"Sun 26.05.2019","2501","2748"
"Mon 27.05.2019","2618","3096"
"Tue 28.05.2019","2698","3120"
"Wed 29.05.2019","2715","3140"
"Thu 30.05.2019","2565","2810"
"Fri 31.05.2019","2634","2877"
"Sat 01.06.2019","2552","2925"
"Sun 02.06.2019","2503","2747"
"Mon 03.06.2019","2310","2762"
"Tue 04.06.2019","2445","2802"
"Wed 05.06.2019","2445","2802"
"Thu 06.06.2019","2445","2802"
"Fri 07.06.2019","2360","2954"
"Sat 08.06.2019","2369","2705"
"Sun 09.06.2019","2321","2548"
"Mon 10.06.2019","2288","2497"
"Tue 11.06.2019","2294","2755"
"Wed 12.06.2019","2404","2755"
"Thu 13.06.2019","2404","2755"
"Fri 14.06.2019","2322","2903"
"Sat 15.06.2019","2330","2658"
"Sun 16.06.2019","2163","2410"
"Mon 17.06.2019","2286","2664"
"Tue 18.06.2019","2456","2662"
"Wed 19.06.2019","2456","2662"
"Thu 20.06.2019","2456","2662"
"Fri 21.06.2019","2442","2785"
"Sat 22.06.2019","2349","2576"
"Sun 23.06.2019","2170","2418"
"Mon 24.06.2019","2295","2673"
"Tue 25.06.2019","2466","2671"
"Wed 26.06.2019","2466","2671"
"Thu 27.06.2019","2466","2671"
"Fri 28.06.2019","2451","2795"
"Sat 29.06.2019","2358","2586"
"Sun 30.06.2019","2178","2427"
"Mon 01.07.2019","2316","2616"
"Tue 02.07.2019","2316","2632"
"Wed 03.07.2019","2311","2870"
"Thu 04.07.2019","2556","2901"
"Fri 05.07.2019","2609","2935"
"Sat 06.07.2019","2555","2769"
"Sun 07.07.2019","2694","2920"
"Mon 08.07.2019","2557","2891"
"Tue 09.07.2019","2563","2909"
"Wed 10.07.2019","2563","2909"
"Thu 11.07.2019","2563","2909"
"Fri 12.07.2019","2570","2892"
"Sat 13.07.2019","2473","2681"
"Sun 14.07.2019","2556","2771"
"Mon 15.07.2019","2485","2705"
"Tue 16.07.2019","2452","2639"
"Wed 17.07.2019","2452","2639"
"Thu 18.07.2019","2452","2639"
"Fri 19.07.2019","2448","2646"
"Sat 20.07.2019","2293","2506"
"Sun 21.07.2019","2370","2538"
"Mon 22.07.2019","2407","2597"
"Tue 23.07.2019","2443","2598"
"Wed 24.07.2019","2443","2598"
"Thu 25.07.2019","2443","2598"
"Fri 26.07.2019","2422","2609"
"Sat 27.07.2019","2290","2501"
"Sun 28.07.2019","2365","2534"
"Mon 29.07.2019","2435","2562"
"Tue 30.07.2019","2398","2551"
"Wed 31.07.2019","2398","2551"
"Thu 01.08.2019","2384","2537"
"Fri 02.08.2019","2383","2543"
"Sat 03.08.2019","2219","2411"
"Sun 04.08.2019","2186","2509"
"Mon 05.08.2019","2425","2564"
"Tue 06.08.2019","2303","2539"
"Wed 07.08.2019","2317","2540"
"Thu 08.08.2019","2318","2565"
"Fri 09.08.2019","2349","2578"
"Sat 10.08.2019","2258","2470"
"Sun 11.08.2019","2173","2566"
"Mon 12.08.2019","2425","2595"
"Tue 13.08.2019","2357","2584"
"Wed 14.08.2019","2357","2598"
"Thu 15.08.2019","2372","2613"
"Fri 16.08.2019","2405","2674"
"Sat 17.08.2019","2244","2548"
"Sun 18.08.2019","2284","2552"
"Mon 19.08.2019","2351","2780"
"Tue 20.08.2019","2410","2807"
"Wed 21.08.2019","2413","2831"
"Thu 22.08.2019","2428","2838"
"Fri 23.08.2019","2412","2900"
"Sat 24.08.2019","2279","2588"
"Sun 25.08.2019","2320","2592"
"Mon 26.08.2019","2336","2763"
"Tue 27.08.2019","2350","2798"
"Wed 28.08.2019","2352","2817"
"Thu 29.08.2019","2364","2823"
"Fri 30.08.2019","2345","2869"
"Sat 31.08.2019","2192","2524"
"Sun 01.09.2019","2287","2649"
"Mon 02.09.2019","2419","2783"
"Tue 03.09.2019","2297","2803"
"Wed 04.09.2019","2297","2803"
"Thu 05.09.2019","2297","2803"
"Fri 06.09.2019","2311","2821"
"Sat 07.09.2019","2347","2556"
"Sun 08.09.2019","2309","2582"
"Mon 09.09.2019","2434","2801"
"Tue 10.09.2019","2311","2822"
"Wed 11.09.2019","2311","2822"
"Thu 12.09.2019","2311","2822"
"Fri 13.09.2019","2326","2839"
"Sat 14.09.2019","2362","2573"
"Sun 15.09.2019","2324","2598"
"Mon 16.09.2019","2408","2998"
"Tue 17.09.2019","2573","2982"
"Wed 18.09.2019","2573","2982"
"Thu 19.09.2019","2573","2982"
"Fri 20.09.2019","2466","2944"
"Sat 21.09.2019","2280","2575"
"Sun 22.09.2019","2340","2662"
"Mon 23.09.2019","2403","2991"
"Tue 24.09.2019","2565","2975"
"Wed 25.09.2019","2565","2975"
"Thu 26.09.2019","2565","2975"
"Fri 27.09.2019","2462","2938"
"Sat 28.09.2019","2277","2572"
"Sun 29.09.2019","2336","2657"
"Mon 30.09.2019","2545","3222"
"Tue 01.10.2019","2578","3213"
"Wed 02.10.2019","2578","3213"
"Thu 03.10.2019","2578","3213"
"Fri 04.10.2019","2582","3208"
"Sat 05.10.2019","2545","2935"
"Sun 06.10.2019","2447","2934"
"Mon 07.10.2019","2566","3270"
"Tue 08.10.2019","2575","3275"
"Wed 09.10.2019","2575","3275"
"Thu 10.10.2019","2575","3275"
"Fri 11.10.2019","2593","3271"
"Sat 12.10.2019","2555","2947"
"Sun 13.10.2019","2457","2946"
"Mon 14.10.2019","2635","3374"
"Tue 15.10.2019","2697","3386"
"Wed 16.10.2019","2695","3362"
"Thu 17.10.2019","2695","3362"
"Fri 18.10.2019","2717","3387"
"Sat 19.10.2019","2649","3275"
"Sun 20.10.2019","2538","2907"
"Mon 21.10.2019","2671","3425"
"Tue 22.10.2019","2764","3439"
"Wed 23.10.2019","2764","3439"
"Thu 24.10.2019","2764","3439"
"Fri 25.10.2019","2797","3480"
"Sat 26.10.2019","2680","3314"
"Sun 27.10.2019","2568","2941"
"Mon 28.10.2019","2798","3500"
"Tue 29.10.2019","2873","3513"
"Wed 30.10.2019","2974","3667"
"Thu 31.10.2019","2978","3670"
"Fri 01.11.2019","3042","3749"
"Sat 02.11.2019","3048","3380"
"Sun 03.11.2019","2760","3335"
"Mon 04.11.2019","3156","3579"
"Tue 05.11.2019","3171","3605"
"Wed 06.11.2019","3171","3605"
"Thu 07.11.2019","3171","3605"
"Fri 08.11.2019","3165","3629"
"Sat 09.11.2019","3042","3391"
"Sun 10.11.2019","2754","3328"
"Mon 11.11.2019","3210","3644"
"Tue 12.11.2019","3227","3671"
"Wed 13.11.2019","3227","3671"
"Thu 14.11.2019","3227","3671"
"Fri 15.11.2019","3220","3701"
"Sat 16.11.2019","3211","3554"
"Sun 17.11.2019","3200","3520"
"Mon 18.11.2019","3306","3710"
"Tue 19.11.2019","3331","3720"
"Wed 20.11.2019","3331","3720"
"Thu 21.11.2019","3331","3720"
"Fri 22.11.2019","3437","3855"
"Sat 23.11.2019","3349","3702"
"Sun 24.11.2019","3311","3651"
"Mon 25.11.2019","3415","3834"
"Tue 26.11.2019","3410","3809"
"Wed 27.11.2019","3380","3775"
"Thu 28.11.2019","3376","3771"
"Fri 29.11.2019","3361","3770"
"Sat 30.11.2019","3295","3643"
"Sun 01.12.2019","3414","3841"
"Mon 02.12.2019","3396","4031"
"Tue 03.12.2019","3360","3925"
"Wed 04.12.2019","3360","3925"
"Thu 05.12.2019","3360","3925"
"Fri 06.12.2019","3408","4037"
"Sat 07.12.2019","3356","3784"
"Sun 08.12.2019","3293","3705"
"Mon 09.12.2019","3356","3984"
"Tue 10.12.2019","3414","3990"
"Wed 11.12.2019","3414","3990"
"Thu 12.12.2019","3414","3990"
"Fri 13.12.2019","3463","4103"
"Sat 14.12.2019","3409","3846"
"Sun 15.12.2019","3344","3764"
"Mon 16.12.2019","3395","3873"
"Tue 17.12.2019","3338","3823"
"Wed 18.12.2019","3338","3823"
"Thu 19.12.2019","3233","3993"
"Fri 20.12.2019","3438","4061"
"Sat 21.12.2019","3511","3937"
"Sun 22.12.2019","3468","3889"
"Mon 23.12.2019","3271","3868"
"Tue 24.12.2019","3178","3653"
"Wed 25.12.2019","3320","3724"
"Thu 26.12.2019","3322","3725"
"Fri 27.12.2019","3126","3728"
"Sat 28.12.2019","3068","3481"
"Sun 29.12.2019","3211","3677"
