"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Mon 31.12.2018","3355","3837"
"Tue 01.01.2019","3468","3858"
"Wed 02.01.2019","3325","3793"
"Thu 03.01.2019","3281","3793"
"Fri 04.01.2019","3195","3643"
"Sat 05.01.2019","3280","3610"
"Sun 06.01.2019","3525","3814"
"Mon 07.01.2019","3439","3846"
"Tue 08.01.2019","3386","3814"
"Wed 09.01.2019","3386","3814"
"Thu 10.01.2019","3386","3814"
"Fri 11.01.2019","3398","3830"
"Sat 12.01.2019","3427","3778"
"Sun 13.01.2019","3728","3964"
"Mon 14.01.2019","3467","3896"
"Tue 15.01.2019","3425","3867"
"Wed 16.01.2019","3442","3886"
"Thu 17.01.2019","3442","3886"
"Fri 18.01.2019","3456","3900"
"Sat 19.01.2019","3416","3707"
"Sun 20.01.2019","3365","3701"
"Mon 21.01.2019","3436","3942"
"Tue 22.01.2019","3464","3944"
"Wed 23.01.2019","3490","3974"
"Thu 24.01.2019","3521","4009"
"Fri 25.01.2019","3584","4052"
"Sat 26.01.2019","3607","3905"
"Sun 27.01.2019","3602","3951"
"Mon 28.01.2019","3535","4037"
"Tue 29.01.2019","3556","4055"
"Wed 30.01.2019","3596","4099"
"Thu 31.01.2019","3615","4120"
"Fri 01.02.2019","3541","4014"
"Sat 02.02.2019","3517","3712"
"Sun 03.02.2019","3499","3773"
"Mon 04.02.2019","3404","3859"
"Tue 05.02.2019","3360","3864"
"Wed 06.02.2019","3360","3864"
"Thu 07.02.2019","3360","3864"
"Fri 08.02.2019","3361","3849"
"Sat 09.02.2019","3441","3636"
"Sun 10.02.2019","3423","3692"
"Mon 11.02.2019","3383","3835"
"Tue 12.02.2019","3339","3840"
"Wed 13.02.2019","3339","3840"
"Thu 14.02.2019","3339","3840"
"Fri 15.02.2019","3340","3825"
"Sat 16.02.2019","3349","3671"
"Sun 17.02.2019","3224","3580"
"Mon 18.02.2019","3281","3788"
"Tue 19.02.2019","3218","3806"
"Wed 20.02.2019","3218","3806"
"Thu 21.02.2019","3218","3806"
"Fri 22.02.2019","3261","3810"
"Sat 23.02.2019","3306","3623"
"Sun 24.02.2019","3184","3535"
"Mon 25.02.2019","3235","3721"
"Tue 26.02.2019","3205","3738"
"Wed 27.02.2019","3205","3738"
"Thu 28.02.2019","3205","3738"
"Fri 01.03.2019","3269","3782"
"Sat 02.03.2019","3242","3451"
